fourSeven	sevenNine	fourNine	fourSevenNine
PPIA	466.915584415584	543.772727272727	425.142857142857	478.61038961039
GABARAP	332.957792207792	380.542613636364	356.227678571429	356.576028138528
SF3B1	193.373376623377	212.346590909091	148.901785714286	184.873917748918
PMP22	1.17857142857143	0	1.17857142857143	0.785714285714286
PSAP	120.298701298701	104.227272727273	105.071428571429	109.865800865801
ANXA5	167.435064935065	147.769886363636	251.477678571429	188.89420995671
DUSP6	24.5551948051948	32.3721590909091	8.74553571428571	21.8909632034632
ATP5C1	282.646103896104	308.494318181818	399.776785714286	330.305735930736
TFPI	27.8181818181818	30.9431818181818	14.125	24.2954545454545
SERINC1	83.1753246753247	81.0994318181818	70.6383928571429	78.3043831168831
EIF4A2	247.668831168831	348.735795454545	340.495535714286	312.300054112554
SLC25A5	379.935064935065	309.613636363636	393.821428571429	361.123376623377
TAC3	0	0	0	0
RPS8	428.542207792208	371.863636363636	365.678571428571	388.694805194805
UBE2D3	244.409090909091	237.440340909091	202.03125	227.960227272727
RPL10A	406.522727272727	460.585227272727	393.5625	420.223484848485
SRSF3	115.551948051948	169.502840909091	220.236607142857	168.430465367965
ILF2	259.542207792208	174.644886363636	256.459821428571	230.215638528139
HSBP1	158.594155844156	165.897727272727	207.946428571429	177.479437229437
KPNA2	66.7857142857143	46.53125	31.3169642857143	48.2113095238095
CD164	126.951298701299	194.366477272727	265.772321428571	195.696699134199
SH3BGRL	140.006493506494	144.582386363636	74.8616071428571	119.816829004329
SAT1	76.512987012987	201.539772727273	185.598214285714	154.550324675325
ISL1	0.892857142857143	0	0.892857142857143	0.595238095238095
SEPT2	124.464285714286	54	167.464285714286	115.309523809524
HNRPDL	255.967532467532	270.994318181818	259.598214285714	262.186688311688
STOM	262.863636363636	263.707386363636	0.84375	175.804924242424
RPS4X	301.386363636364	344.386363636364	455.5	367.090909090909
RPS2	342.292207792208	319.301136363636	388.866071428571	350.153138528139
ID2	124.795454545455	190.014204545455	216.71875	177.176136363636
RAN	250.993506493507	225.105113636364	238.825892857143	238.308170995671
RPS11	374.418831168831	446.704545454545	338.214285714286	386.445887445887
RPN2	310.532467532468	162.505681818182	209.401785714286	227.479978354978
MSN	91.3181818181818	91.3181818181818	0	60.8787878787879
DSTN	223.636363636364	269.511363636364	325.875	273.007575757576
RAB1A	232.032467532468	202.474431818182	221.870535714286	218.792478354978
ATP5F1	247.896103896104	279.369318181818	254.901785714286	260.722402597403
HBA2	0	0	0	0
DSP	56.0324675324675	148.786931818182	147.183035714286	117.334145021645
QDPR	35.0811688311688	41.5142045454545	45.5044642857143	40.6999458874459
PRDX2	212.198051948052	181.590909090909	267.607142857143	220.465367965368
CHGA	0.392857142857143	0	0.392857142857143	0.261904761904762
TIMP3	163.834415584416	163.227272727273	0.607142857142857	109.222943722944
ACSL1	0.0454545454545455	0.0454545454545455	0	0.0303030303030303
RPS3A	560.337662337662	514.877840909091	567.397321428571	547.537608225108
SLC25A3	177.87012987013	190.477272727273	267.892857142857	212.080086580087
TAGLN	0	0	0	0
MT1H	314.571428571429	0	314.571428571429	209.714285714286
NAP1L1	189.194805194805	227.815340909091	196.191964285714	204.400703463203
ATP1B3	235.314935064935	241.917613636364	16.9598214285714	164.73079004329
MFAP4	9.03571428571429	10.59375	19.6294642857143	13.0863095238095
DYNLL1	408.873376623377	402.315340909091	245.370535714286	352.186417748918
GJA4	75.6850649350649	72.3636363636364	3.32142857142857	50.45670995671
SERPINI2	349.5	0	349.5	233
UACA	178.318181818182	176.349431818182	4.03125	119.566287878788
TPM4	76.25	102.96875	30.21875	69.8125
NFKBIA	175.246753246753	181.630681818182	112.241071428571	156.372835497835
RPL32	455.694805194805	473.940340909091	326.816964285714	418.81737012987
PABPC1	85.9415584415584	130.821022727273	105.308035714286	107.356872294372
EFNA1	125.993506493506	127.636363636364	83.3571428571429	112.329004329004
PLK2	90.9220779220779	121.386363636364	36.0357142857143	82.7813852813853
NACA	308.308441558442	421.491477272727	277.254464285714	335.684794372294
DST	20.4577922077922	20.9488636363636	39.1339285714286	26.8468614718615
PDIA6	217.405844155844	63.9772727272727	220.928571428571	167.437229437229
EID1	265.094155844156	348.897727272727	212.446428571429	275.479437229437
XBP1	283.198051948052	72.4346590909091	242.450892857143	199.361201298701
PSMB1	319.207792207792	321.823863636364	394.758928571429	345.263528138528
HDAC2	144.646103896104	165.525568181818	121.808035714286	143.993235930736
TMEM66	148.711038961039	115.099431818182	234.174107142857	165.994859307359
GHITM	215.185064935065	160.332386363636	137.790178571429	171.102543290043
ARPC2	202.301948051948	202.284090909091	67.7678571428571	157.451298701299
TMEM59	259.964285714286	285.75	285.714285714286	277.142857142857
SGK1	55.1818181818182	55.2130681818182	0.03125	36.8087121212121
TSPAN6	147.529220779221	110.386363636364	252.642857142857	170.186147186147
HSPD1	122.366883116883	181.357954545455	217.633928571429	173.786255411255
CALCRL	200.318181818182	208.599431818182	8.28125	139.066287878788
WSB1	185.418831168831	200.548295454545	56.0580357142857	147.341720779221
RBMX	69.9935064935065	110.542613636364	171.263392857143	117.266504329004
SLC38A2	120.237012987013	105.616477272727	143.308035714286	123.053841991342
C8orf4	176.545454545455	176.545454545455	0	117.69696969697
MORF4L1	310.243506493507	290.448863636364	248.419642857143	283.037337662338
COL4A2	159.074675324675	163.900568181818	8.61160714285714	110.52895021645
RPL31	434.753246753247	476.056818181818	409.446428571429	440.085497835498
ANAPC13	223.831168831169	313.201704545455	177.941964285714	238.324945887446
ITM2A	187.769480519481	153.590909090909	34.1785714285714	125.179653679654
TMED2	279.071428571429	130.78125	317.852678571429	242.568452380952
COL21A1	12.1428571428571	0.71875	12.8616071428571	8.57440476190476
XRCC6	89.1233766233766	119.190340909091	154.495535714286	120.936417748918
MAP1B	147.308441558442	146.335227272727	10.0982142857143	101.247294372294
EIF5	195.685064935065	226.051136363636	252.008928571429	224.58170995671
GFRA1	0	0	0	0
ID3	295.457792207792	374.417613636364	122.602678571429	264.159361471861
NONO	91.3766233766234	136.497159090909	198.691964285714	142.188582251082
RPS23	489.977272727273	445.446022727273	378.96875	438.130681818182
ALDOA	231.633116883117	211.642045454545	243.366071428571	228.880411255411
KRT19	9.85714285714286	41.75	51.6071428571429	34.4047619047619
DDOST	211.373376623377	167.565340909091	91.1205357142857	156.686417748918
ARHGDIB	226.49025974026	234.642045454545	8.22321428571429	156.45183982684
STMN2	3.53571428571429	1.625	5.16071428571429	3.44047619047619
GDI2	122.964285714286	160.6875	112.651785714286	132.10119047619
FCGRT	84.3181818181818	56.6306818181818	71.3125	70.7537878787879
CCT2	76.3538961038961	127.193181818182	81.9107142857143	95.1525974025974
XRCC5	95.8506493506493	137.573863636364	175.151785714286	136.1920995671
CLK1	55.6525974025974	77.7329545454545	108.294642857143	80.5600649350649
RPL18	402.366883116883	321.482954545455	310.758928571429	344.869588744589
CTNNB1	119.662337662338	133.090909090909	73.5714285714286	108.774891774892
